Code,Label
10050,Albury (C)
10110,Armidale Dumaresq (A)
10150,Ashfield (A)
10200,Auburn (C)
10250,Ballina (A)
10300,Balranald (A)
10350,Bankstown (C)
10470,Bathurst Regional (A)
10550,Bega Valley (A)
10600,Bellingen (A)
10650,Berrigan (A)
10750,Blacktown (C)
10800,Bland (A)
10850,Blayney (A)
10900,Blue Mountains (C)
10950,Bogan (A)
11000,Bombala (A)
11050,Boorowa (A)
11100,Botany Bay (C)
11150,Bourke (A)
11200,Brewarrina (A)
11250,Broken Hill (C)
11300,Burwood (A)
11350,Byron (A)
11400,Cabonne (A)
11450,Camden (A)
11500,Campbelltown (C)
11520,Canada Bay (A)
11550,Canterbury (C)
11600,Carrathool (A)
11700,Central Darling (A)
11720,Cessnock (C)
11730,Clarence Valley (A)
11750,Cobar (A)
11800,Coffs Harbour (C)
11860,Conargo (A)
12000,Coolamon (A)
12050,Cooma-Monaro (A)
12150,Coonamble (A)
12200,Cootamundra (A)
12300,Corowa Shire (A)
12350,Cowra (A)
12500,Deniliquin (A)
12600,Dubbo (C)
12700,Dungog (A)
12750,Eurobodalla (A)
12850,Fairfield (C)
12900,Forbes (A)
12950,Gilgandra (A)
13010,Glen Innes Severn (A)
13050,Gloucester (A)
13100,Gosford (C)
13310,Goulburn Mulwaree (A)
13320,Great Lakes (A)
13340,Greater Hume Shire (A)
13380,Greater Taree (C)
13450,Griffith (C)
13500,Gundagai (A)
13550,Gunnedah (A)
13650,Guyra (A)
13660,Gwydir (A)
13700,Harden (A)
13800,Hawkesbury (C)
13850,Hay (A)
13950,Holroyd (C)
14000,Hornsby (A)
14100,Hunters Hill (A)
14150,Hurstville (C)
14200,Inverell (A)
14250,Jerilderie (A)
14300,Junee (A)
14350,Kempsey (A)
14400,Kiama (A)
14450,Kogarah (C)
14500,Ku-ring-gai (A)
14550,Kyogle (A)
14600,Lachlan (A)
14650,Lake Macquarie (C)
14700,Lane Cove (A)
14750,Leeton (A)
14800,Leichhardt (A)
14850,Lismore (C)
14870,Lithgow (C)
14900,Liverpool (C)
14920,Liverpool Plains (A)
14950,Lockhart (A)
15050,Maitland (C)
15150,Manly (A)
15200,Marrickville (A)
15270,Mid-Western Regional (A)
15300,Moree Plains (A)
15350,Mosman (A)
15500,Murray (A)
15550,Murrumbidgee (A)
15650,Muswellbrook (A)
15700,Nambucca (A)
15750,Narrabri (A)
15800,Narrandera (A)
15850,Narromine (A)
15900,Newcastle (C)
15950,North Sydney (A)
16100,Oberon (A)
16150,Orange (C)
16180,Palerang (A)
16200,Parkes (A)
16250,Parramatta (C)
16350,Penrith (C)
16370,Pittwater (A)
16380,Port Macquarie-Hastings (A)
16400,Port Stephens (A)
16470,Queanbeyan (C)
16550,Randwick (C)
16610,Richmond Valley (A)
16650,Rockdale (C)
16700,Ryde (C)
16900,Shellharbour (C)
16950,Shoalhaven (C)
17000,Singleton (A)
17050,Snowy River (A)
17100,Strathfield (A)
17150,Sutherland Shire (A)
17200,Sydney (C)
17310,Tamworth Regional (A)
17350,Temora (A)
17400,Tenterfield (A)
17420,The Hills Shire (A)
17450,Tumbarumba (A)
17500,Tumut Shire (A)
17550,Tweed (A)
17620,Upper Hunter Shire (A)
17640,Upper Lachlan Shire (A)
17650,Uralla (A)
17700,Urana (A)
17750,Wagga Wagga (C)
17800,Wakool (A)
17850,Walcha (A)
17900,Walgett (A)
17950,Warren (A)
18000,Warringah (A)
18020,Warrumbungle Shire (A)
18050,Waverley (A)
18100,Weddin (A)
18150,Wellington (A)
18200,Wentworth (A)
18250,Willoughby (C)
18350,Wingecarribee (A)
18400,Wollondilly (A)
18450,Wollongong (C)
18500,Woollahra (A)
18550,Wyong (A)
18710,Yass Valley (A)
18750,Young (A)
19399,Unincorporated NSW
19499,No usual address (NSW)
20110,Alpine (S)
20260,Ararat (RC)
20570,Ballarat (C)
20660,Banyule (C)
20740,Bass Coast (S)
20830,Baw Baw (S)
20910,Bayside (C)
21010,Benalla (RC)
21110,Boroondara (C)
21180,Brimbank (C)
21270,Buloke (S)
21370,Campaspe (S)
21450,Cardinia (S)
21610,Casey (C)
21670,Central Goldfields (S)
21750,Colac-Otway (S)
21830,Corangamite (S)
21890,Darebin (C)
22110,East Gippsland (S)
22170,Frankston (C)
22250,Gannawarra (S)
22310,Glen Eira (C)
22410,Glenelg (S)
22490,Golden Plains (S)
22620,Greater Bendigo (C)
22670,Greater Dandenong (C)
22750,Greater Geelong (C)
22830,Greater Shepparton (C)
22910,Hepburn (S)
22980,Hindmarsh (S)
23110,Hobsons Bay (C)
23190,Horsham (RC)
23270,Hume (C)
23350,Indigo (S)
23430,Kingston (C)
23670,Knox (C)
23810,Latrobe (C)
23940,Loddon (S)
24130,Macedon Ranges (S)
24210,Manningham (C)
24250,Mansfield (S)
24330,Maribyrnong (C)
24410,Maroondah (C)
24600,Melbourne (C)
24650,Melton (S)
24780,Mildura (RC)
24850,Mitchell (S)
24900,Moira (S)
24970,Monash (C)
25060,Moonee Valley (C)
25150,Moorabool (S)
25250,Moreland (C)
25340,Mornington Peninsula (S)
25430,Mount Alexander (S)
25490,Moyne (S)
25620,Murrindindi (S)
25710,Nillumbik (S)
25810,Northern Grampians (S)
25900,Port Phillip (C)
25990,Pyrenees (S)
26080,Queenscliffe (B)
26170,South Gippsland (S)
26260,Southern Grampians (S)
26350,Stonnington (C)
26430,Strathbogie (S)
26490,Surf Coast (S)
26610,Swan Hill (RC)
26670,Towong (S)
26700,Wangaratta (RC)
26730,Warrnambool (C)
26810,Wellington (S)
26890,West Wimmera (S)
26980,Whitehorse (C)
27070,Whittlesea (C)
27170,Wodonga (RC)
27260,Wyndham (C)
27350,Yarra (C)
27450,Yarra Ranges (S)
27630,Yarriambiack (S)
29399,Unincorporated Vic
29499,No usual address (Vic.)
30250,Aurukun (S)
30300,Balonne (S)
30370,Banana (S)
30410,Barcaldine (R)
30450,Barcoo (S)
30760,Blackall Tambo (R)
30900,Boulia (S)
31000,Brisbane (C)
31750,Bulloo (S)
31820,Bundaberg (R)
31900,Burdekin (S)
31950,Burke (S)
32070,Cairns (R)
32250,Carpentaria (S)
32260,Cassowary Coast (R)
32270,Central Highlands (R)
32310,Charters Towers (R)
32330,Cherbourg (S)
32450,Cloncurry (S)
32500,Cook (S)
32600,Croydon (S)
32750,Diamantina (S)
32770,Doomadgee (S)
33100,Etheridge (S)
33200,Flinders (S)
33220,Fraser Coast (R)
33360,Gladstone (R)
33430,Gold Coast (C)
33610,Goondiwindi (R)
33620,Gympie (R)
33800,Hinchinbrook (S)
33830,Hope Vale (S)
33960,Ipswich (C)
33980,Isaac (R)
34420,Kowanyama (S)
34570,Lockhart River (S)
34580,Lockyer Valley (R)
34590,Logan (C)
34710,Longreach (R)
34770,Mackay (R)
34800,McKinlay (S)
34830,Mapoon (S)
34860,Maranoa (R)
35010,Moreton Bay (R)
35250,Mornington (S)
35300,Mount Isa (C)
35600,Murweh (S)
35670,Napranum (S)
35760,North Burnett (R)
35780,Northern Peninsula Area (R)
35790,Palm Island (S)
35800,Paroo (S)
36070,Pormpuraaw (S)
36150,Quilpie (S)
36250,Redland (C)
36300,Richmond (S)
36360,Rockhampton (R)
36510,Scenic Rim (R)
36580,Somerset (R)
36630,South Burnett (R)
36660,Southern Downs (R)
36710,Sunshine Coast (R)
36810,Tablelands (R)
36910,Toowoomba (R)
36950,Torres (S)
36960,Torres Strait Island (R)
37010,Townsville (C)
37300,Weipa (T)
37310,Western Downs (R)
37340,Whitsunday (R)
37400,Winton (S)
37550,Woorabinda (S)
37570,Wujal Wujal (S)
37600,Yarrabah (S)
39399,Unincorporated Qld
39499,No usual address (Qld)
40070,Adelaide (C)
40120,Adelaide Hills (DC)
40220,Alexandrina (DC)
40250,Anangu Pitjantjatjara (AC)
40310,Barossa (DC)
40430,Barunga West (DC)
40520,Berri and Barmera (DC)
40700,Burnside (C)
40910,Campbelltown (C)
41010,Ceduna (DC)
41060,Charles Sturt (C)
41140,Clare and Gilbert Valleys (DC)
41190,Cleve (DC)
41330,Coober Pedy (DC)
41560,Copper Coast (DC)
41750,Elliston (DC)
41830,Flinders Ranges (DC)
41960,Franklin Harbour (DC)
42030,Gawler (T)
42110,Goyder (DC)
42250,Grant (DC)
42600,Holdfast Bay (C)
42750,Kangaroo Island (DC)
43080,Karoonda East Murray (DC)
43220,Kimba (DC)
43360,Kingston (DC)
43650,Light (RegC)
43710,Lower Eyre Peninsula (DC)
43790,Loxton Waikerie (DC)
43920,Mallala (DC)
44000,Maralinga Tjarutja (AC)
44060,Marion (C)
44210,Mid Murray (DC)
44340,Mitcham (C)
44550,Mount Barker (DC)
44620,Mount Gambier (C)
44830,Mount Remarkable (DC)
45040,Murray Bridge (RC)
45090,Naracoorte and Lucindale (DC)
45120,Northern Areas (DC)
45290,Norwood Payneham St Peters (C)
45340,Onkaparinga (C)
45400,Orroroo/Carrieton (DC)
45540,Peterborough (DC)
45680,Playford (C)
45890,Port Adelaide Enfield (C)
46090,Port Augusta (C)
46300,Port Lincoln (C)
46450,Port Pirie City and Dists (M)
46510,Prospect (C)
46670,Renmark Paringa (DC)
46860,Robe (DC)
46970,Roxby Downs (M)
47140,Salisbury (C)
47290,Southern Mallee (DC)
47490,Streaky Bay (DC)
47630,Tatiara (DC)
47700,Tea Tree Gully (C)
47800,The Coorong (DC)
47910,Tumby Bay (DC)
47980,Unley (C)
48050,Victor Harbor (C)
48130,Wakefield (DC)
48260,Walkerville (M)
48340,Wattle Range (DC)
48410,West Torrens (C)
48540,Whyalla (C)
48640,Wudinna (DC)
48750,Yankalilla (DC)
48830,Yorke Peninsula (DC)
49399,Unincorporated SA
49499,No usual address (SA)
50080,Albany (C)
50210,Armadale (C)
50250,Ashburton (S)
50280,Augusta-Margaret River (S)
50350,Bassendean (T)
50420,Bayswater (C)
50490,Belmont (C)
50560,Beverley (S)
50630,Boddington (S)
50770,Boyup Brook (S)
50840,Bridgetown-Greenbushes (S)
50910,Brookton (S)
50980,Broome (S)
51080,Broomehill-Tambellup (S)
51120,Bruce Rock (S)
51190,Bunbury (C)
51260,Busselton (S)
51310,Cambridge (T)
51330,Canning (C)
51400,Capel (S)
51470,Carnamah (S)
51540,Carnarvon (S)
51610,Chapman Valley (S)
51680,Chittering (S)
51750,Claremont (T)
51820,Cockburn (C)
51890,Collie (S)
51960,Coolgardie (S)
52030,Coorow (S)
52100,Corrigin (S)
52170,Cottesloe (T)
52240,Cranbrook (S)
52310,Cuballing (S)
52380,Cue (S)
52450,Cunderdin (S)
52520,Dalwallinu (S)
52590,Dandaragan (S)
52660,Dardanup (S)
52730,Denmark (S)
52800,Derby-West Kimberley (S)
52870,Donnybrook-Balingup (S)
52940,Dowerin (S)
53010,Dumbleyung (S)
53080,Dundas (S)
53150,East Fremantle (T)
53220,East Pilbara (S)
53290,Esperance (S)
53360,Exmouth (S)
53430,Fremantle (C)
53520,Geraldton-Greenough (C)
53570,Gingin (S)
53640,Gnowangerup (S)
53710,Goomalling (S)
53780,Gosnells (C)
53920,Halls Creek (S)
53990,Harvey (S)
54060,Irwin (S)
54130,Jerramungup (S)
54170,Joondalup (C)
54200,Kalamunda (S)
54280,Kalgoorlie/Boulder (C)
54340,Katanning (S)
54410,Kellerberrin (S)
54480,Kent (S)
54550,Kojonup (S)
54620,Kondinin (S)
54690,Koorda (S)
54760,Kulin (S)
54830,Kwinana (T)
54900,Lake Grace (S)
54970,Laverton (S)
55040,Leonora (S)
55110,Mandurah (C)
55180,Manjimup (S)
55250,Meekatharra (S)
55320,Melville (C)
55390,Menzies (S)
55460,Merredin (S)
55530,Mingenew (S)
55600,Moora (S)
55670,Morawa (S)
55740,Mosman Park (T)
55810,Mount Magnet (S)
55880,Mount Marshall (S)
55950,Mukinbudin (S)
56020,Mullewa (S)
56090,Mundaring (S)
56160,Murchison (S)
56230,Murray (S)
56300,Nannup (S)
56370,Narembeen (S)
56450,Narrogin (S)
56520,Narrogin (T)
56580,Nedlands (C)
56620,Ngaanyatjarraku (S)
56730,Northam (S)
56790,Northampton (S)
56860,Nungarin (S)
56930,Peppermint Grove (S)
57000,Perenjori (S)
57080,Perth (C)
57140,Pingelly (S)
57210,Plantagenet (S)
57280,Port Hedland (T)
57350,Quairading (S)
57420,Ravensthorpe (S)
57490,Rockingham (C)
57560,Roebourne (S)
57630,Sandstone (S)
57700,Serpentine-Jarrahdale (S)
57770,Shark Bay (S)
57840,South Perth (C)
57910,Stirling (C)
57980,Subiaco (C)
58050,Swan (C)
58190,Tammin (S)
58260,Three Springs (S)
58330,Toodyay (S)
58400,Trayning (S)
58470,Upper Gascoyne (S)
58510,Victoria Park (T)
58540,Victoria Plains (S)
58570,Vincent (T)
58610,Wagin (S)
58680,Wandering (S)
58760,Wanneroo (C)
58820,Waroona (S)
58890,West Arthur (S)
59030,Westonia (S)
59100,Wickepin (S)
59170,Williams (S)
59250,Wiluna (S)
59310,Wongan-Ballidu (S)
59320,Woodanilling (S)
59330,Wyalkatchem (S)
59340,Wyndham-East Kimberley (S)
59350,Yalgoo (S)
59360,Yilgarn (S)
59370,York (S)
59399,Unincorporated WA
59499,No usual address (WA)
60210,Break O'Day (M)
60410,Brighton (M)
60610,Burnie (C)
60810,Central Coast (M)
61010,Central Highlands (M)
61210,Circular Head (M)
61410,Clarence (C)
61510,Derwent Valley (M)
61610,Devonport (C)
61810,Dorset (M)
62010,Flinders (M)
62210,George Town (M)
62410,Glamorgan/Spring Bay (M)
62610,Glenorchy (C)
62810,Hobart (C)
63010,Huon Valley (M)
63210,Kentish (M)
63410,King Island (M)
63610,Kingborough (M)
63810,Latrobe (M)
64010,Launceston (C)
64210,Meander Valley (M)
64610,Northern Midlands (M)
64810,Sorell (M)
65010,Southern Midlands (M)
65210,Tasman (M)
65410,Waratah/Wynyard (M)
65610,West Coast (M)
65810,West Tamar (M)
69399,Unincorporated Tas
69499,No usual address (Tas.)
70200,Alice Springs (T)
70420,Barkly (S)
70540,Belyuen (S)
70620,Central Desert (S)
70700,Coomalie (S)
71000,Darwin (C)
71300,East Arnhem (S)
72200,Katherine (T)
72300,Litchfield (M)
72330,MacDonnell (S)
72800,Palmerston (C)
73600,Roper Gulf (S)
74050,Tiwi Islands (S)
74500,Victoria-Daly (S)
74560,Wagait (S)
74660,West Arnhem (S)
79399,Unincorporated NT
79499,No usual address (NT)
89399,Unincorporated ACT
89499,No usual address (ACT)
99399,Unincorp Other Territories